frame,time_sec,raw_person_count,eval_person_count,global_alert,zone_alert,num_zones_alerting,inference_ms
0,0.0,8,8,1,1,2,912.229
1,0.033,9,9,1,1,2,24.656
2,0.067,9,9,1,1,2,24.346
3,0.1,8,8,1,1,2,23.223
4,0.133,8,8,1,1,2,23.318
5,0.167,7,7,1,1,1,23.599
6,0.2,8,8,1,1,2,23.254
7,0.234,8,8,1,1,2,22.85
8,0.267,8,8,1,1,2,22.485
9,0.3,7,7,1,1,1,23.155
10,0.334,6,6,1,1,1,23.283
11,0.367,8,8,1,1,1,23.245
12,0.4,7,7,1,1,1,22.73
13,0.434,8,8,1,1,1,23.051
14,0.467,8,8,1,1,2,22.559
15,0.501,8,8,1,1,2,22.72
16,0.534,9,9,1,1,3,22.555
17,0.567,8,8,1,1,2,22.944
18,0.601,8,8,1,1,2,23.159
19,0.634,8,8,1,1,2,22.585
20,0.667,7,7,1,1,1,22.43
21,0.701,8,8,1,1,2,23.151
22,0.734,8,8,1,1,2,22.741
23,0.767,7,7,1,1,1,22.794
24,0.801,8,8,1,1,1,22.716
25,0.834,8,8,1,1,1,22.978
26,0.868,9,9,1,1,2,22.205
27,0.901,9,9,1,1,2,22.923
28,0.934,9,9,1,1,2,23.009
29,0.968,9,9,1,1,2,23.084
30,1.001,8,8,1,1,2,22.346
31,1.034,8,8,1,1,2,22.497
32,1.068,8,8,1,1,2,22.443
33,1.101,9,9,1,1,2,23.252
34,1.134,10,10,1,1,3,22.877
35,1.168,9,9,1,1,2,22.694
36,1.201,10,10,1,1,3,22.432
37,1.235,10,10,1,1,3,22.72
38,1.268,11,11,1,1,3,23.089
39,1.301,10,10,1,1,3,24.237
40,1.335,10,10,1,1,3,23.022
41,1.368,11,11,1,1,3,23.157
42,1.401,12,12,1,1,3,22.438
43,1.435,12,12,1,1,3,22.564
44,1.468,12,12,1,1,3,22.672
45,1.502,10,10,1,1,2,23.154
46,1.535,9,9,1,1,2,23.003
47,1.568,9,9,1,1,2,22.788
48,1.602,9,9,1,1,2,22.836
49,1.635,11,11,1,1,2,22.484
50,1.668,11,11,1,1,2,22.581
51,1.702,9,9,1,1,2,22.651
52,1.735,8,8,1,1,2,23.061
53,1.768,7,7,1,1,1,22.489
54,1.802,9,9,1,1,2,22.324
55,1.835,9,9,1,1,1,22.593
56,1.869,8,8,1,1,1,23.268
57,1.902,7,7,1,1,1,22.704
58,1.935,8,8,1,1,1,22.74
59,1.969,9,9,1,1,2,22.481
60,2.002,8,8,1,1,2,23.153
61,2.035,8,8,1,1,2,22.486
62,2.069,9,9,1,1,2,22.657
63,2.102,9,9,1,1,2,22.344
64,2.135,8,8,1,1,2,22.846
65,2.169,8,8,1,1,2,22.531
