frame,time_sec,raw_person_count,eval_person_count,global_alert,zone_alert,num_zones_alerting,inference_ms
0,0.0,8,8.0,1,1,2,768.947
1,0.033,9,8.5,1,1,2,25.313
2,0.067,9,8.667,1,1,2,23.327
3,0.1,8,8.5,1,1,2,23.041
4,0.133,8,8.4,1,1,2,23.177
5,0.167,7,8.2,1,1,2,23.455
6,0.2,8,8.0,1,1,2,23.065
7,0.234,8,7.8,1,1,1,22.848
8,0.267,8,7.8,1,1,1,22.545
9,0.3,7,7.6,1,1,1,23.387
10,0.334,6,7.4,1,1,1,23.38
11,0.367,8,7.4,1,1,1,23.063
12,0.4,7,7.2,1,1,1,23.377
13,0.434,8,7.2,1,1,1,23.373
14,0.467,8,7.4,1,1,1,22.893
15,0.501,8,7.8,1,1,1,22.937
16,0.534,9,8.0,1,1,1,22.43
17,0.567,8,8.2,1,1,1,23.086
18,0.601,8,8.2,1,1,2,22.925
19,0.634,8,8.2,1,1,2,22.782
20,0.667,7,8.0,1,1,1,22.982
21,0.701,8,7.8,1,1,1,22.961
22,0.734,8,7.8,1,1,1,22.51
23,0.767,7,7.6,1,1,1,22.723
24,0.801,8,7.6,1,1,1,22.728
25,0.834,8,7.8,1,1,1,23.253
26,0.868,9,8.0,1,1,1,23.039
27,0.901,9,8.2,1,1,1,22.62
28,0.934,9,8.6,1,1,2,22.568
29,0.968,9,8.8,1,1,2,22.886
30,1.001,8,8.8,1,1,2,22.819
31,1.034,8,8.6,1,1,2,22.844
32,1.068,8,8.4,1,1,2,22.507
33,1.101,9,8.4,1,1,2,22.711
34,1.134,10,8.6,1,1,2,22.191
35,1.168,9,8.8,1,1,2,22.517
36,1.201,10,9.2,1,1,2,22.468
37,1.235,10,9.6,1,1,2,22.513
38,1.268,11,10.0,1,1,3,22.097
39,1.301,10,10.0,1,1,3,22.411
40,1.335,10,10.2,1,1,3,22.189
41,1.368,11,10.4,1,1,3,22.507
42,1.401,12,10.8,1,1,3,22.125
43,1.435,12,11.0,1,1,3,22.23
44,1.468,12,11.4,1,1,3,22.247
45,1.502,10,11.4,1,1,2,22.517
46,1.535,9,11.0,1,1,2,22.226
47,1.568,9,10.4,1,1,2,22.238
48,1.602,9,9.8,1,1,2,22.33
49,1.635,11,9.6,1,1,2,22.344
50,1.668,11,9.8,1,1,2,22.181
51,1.702,9,9.8,1,1,2,24.176
52,1.735,8,9.6,1,1,2,22.93
53,1.768,7,9.2,1,1,2,22.961
54,1.802,9,8.8,1,1,2,22.647
55,1.835,9,8.4,1,1,1,22.347
56,1.869,8,8.2,1,1,1,22.715
57,1.902,7,8.0,1,1,1,22.167
58,1.935,8,8.2,1,1,1,22.557
59,1.969,9,8.2,1,1,1,22.892
60,2.002,8,8.0,1,1,1,22.832
61,2.035,8,8.0,1,1,1,22.229
62,2.069,9,8.4,1,1,1,22.323
63,2.102,9,8.6,1,1,2,22.475
64,2.135,8,8.4,1,1,2,22.592
65,2.169,8,8.4,1,1,2,22.016
66,2.202,9,8.6,1,1,2,22.398
67,2.236,10,8.8,1,1,2,22.426
68,2.269,9,8.8,1,1,2,22.792
69,2.302,9,9.0,1,1,2,22.329
70,2.336,10,9.4,1,1,2,22.073
71,2.369,10,9.6,1,1,2,22.289
72,2.402,10,9.6,1,1,1,22.662
73,2.436,10,9.8,1,1,2,22.266
74,2.469,9,9.8,1,1,2,22.376
75,2.502,9,9.6,1,1,2,22.251
76,2.536,9,9.4,1,1,2,23.039
77,2.569,7,8.8,1,1,2,23.11
78,2.603,9,8.6,1,1,1,22.262
79,2.636,7,8.2,1,1,1,22.213
80,2.669,8,8.0,1,1,1,22.742
81,2.703,9,8.0,1,1,1,22.776
82,2.736,8,8.2,1,1,1,22.612
83,2.769,8,8.0,1,1,1,22.976
84,2.803,9,8.4,1,1,1,22.499
85,2.836,7,8.2,1,1,1,22.565
86,2.87,9,8.2,1,0,0,22.533
87,2.903,9,8.4,1,0,0,22.888
88,2.936,9,8.6,1,0,0,22.634
89,2.97,8,8.4,1,0,0,22.332
90,3.003,7,8.4,1,0,0,22.485
91,3.036,7,8.0,1,0,0,23.055
92,3.07,7,7.6,1,0,0,22.413
93,3.103,7,7.2,1,0,0,22.597
94,3.136,7,7.0,1,0,0,22.688
95,3.17,6,6.8,1,0,0,22.711
96,3.203,5,6.4,1,0,0,22.818
97,3.237,8,6.6,1,0,0,22.51
98,3.27,7,6.6,1,0,0,22.516
99,3.303,7,6.6,1,0,0,22.807
100,3.337,7,6.8,1,0,0,22.584
101,3.37,5,6.8,1,0,0,23.312
102,3.403,7,6.6,1,0,0,22.632
103,3.437,8,6.8,1,0,0,23.065
104,3.47,6,6.6,1,0,0,22.8
105,3.504,7,6.6,1,0,0,22.409
106,3.537,7,7.0,1,0,0,22.855
107,3.57,8,7.2,1,0,0,22.558
108,3.604,9,7.4,1,0,0,22.833
109,3.637,9,8.0,1,0,0,22.439
110,3.67,9,8.4,1,0,0,22.702
111,3.704,8,8.6,1,0,0,22.514
112,3.737,8,8.6,1,0,0,22.686
113,3.77,9,8.6,1,1,1,22.498
114,3.804,7,8.2,1,0,0,22.991
115,3.837,6,7.6,1,0,0,22.426
116,3.871,6,7.2,1,0,0,22.739
117,3.904,6,6.8,1,0,0,22.717
118,3.937,5,6.0,1,0,0,22.883
119,3.971,5,5.6,0,0,0,22.976
120,4.004,5,5.4,0,0,0,22.57
121,4.037,5,5.2,0,0,0,22.337
122,4.071,8,5.6,0,0,0,22.704
123,4.104,6,5.8,0,0,0,22.66
124,4.137,7,6.2,1,0,0,22.87
125,4.171,6,6.4,1,0,0,22.398
126,4.204,7,6.8,1,0,0,22.749
127,4.238,7,6.6,1,0,0,22.457
128,4.271,6,6.6,1,1,1,22.624
129,4.304,7,6.6,1,1,1,22.59
130,4.338,7,6.8,1,1,1,22.978
131,4.371,8,7.0,1,1,1,22.255
132,4.404,8,7.2,1,1,1,22.598
133,4.438,9,7.8,1,1,1,22.762
134,4.471,9,8.2,1,0,0,23.038
135,4.505,8,8.4,1,1,1,22.456
136,4.538,8,8.4,1,1,1,22.762
137,4.571,8,8.4,1,1,1,22.998
138,4.605,8,8.2,1,1,1,22.959
139,4.638,7,7.8,1,1,1,22.989
140,4.671,7,7.6,1,1,1,22.989
141,4.705,8,7.6,1,1,1,22.43
142,4.738,7,7.4,1,1,1,22.557
143,4.771,6,7.0,1,0,0,22.499
144,4.805,6,6.8,1,0,0,22.765
145,4.838,7,6.8,1,0,0,22.759
146,4.872,7,6.6,1,0,0,22.226
147,4.905,9,7.0,1,0,0,22.554
148,4.938,9,7.6,1,0,0,23.798
149,4.972,10,8.4,1,1,1,23.128
150,5.005,11,9.2,1,1,1,23.135
151,5.038,8,9.4,1,1,1,22.822
152,5.072,10,9.6,1,1,1,22.78
153,5.105,10,9.8,1,1,1,22.905
154,5.138,8,9.4,1,0,0,22.696
155,5.172,7,8.6,1,0,0,22.991
156,5.205,6,8.2,1,0,0,22.468
157,5.239,7,7.6,1,0,0,23.02
158,5.272,7,7.0,1,0,0,22.533
159,5.305,7,6.8,1,0,0,22.491
160,5.339,7,6.8,1,0,0,22.658
161,5.372,6,6.8,1,0,0,22.803
162,5.405,8,7.0,1,0,0,22.928
163,5.439,8,7.2,1,0,0,22.542
164,5.472,8,7.4,1,0,0,22.276
165,5.506,7,7.4,1,0,0,22.513
166,5.539,6,7.4,1,0,0,22.237
167,5.572,5,6.8,1,0,0,22.432
168,5.606,7,6.6,1,0,0,22.314
169,5.639,5,6.0,1,0,0,22.573
170,5.672,6,5.8,0,0,0,22.463
171,5.706,7,6.0,1,0,0,22.432
172,5.739,8,6.6,1,0,0,22.122
173,5.772,9,7.0,1,0,0,22.362
174,5.806,8,7.6,1,0,0,22.48
175,5.839,10,8.4,1,0,0,22.559
176,5.873,8,8.6,1,0,0,22.376
177,5.906,8,8.6,1,0,0,22.676
178,5.939,8,8.4,1,0,0,22.15
179,5.973,7,8.2,1,0,0,22.632
180,6.006,7,7.6,1,0,0,22.501
181,6.039,6,7.2,1,0,0,22.646
182,6.073,7,7.0,1,0,0,22.212
183,6.106,7,6.8,1,0,0,22.214
184,6.139,7,6.8,1,0,0,22.328
185,6.173,8,7.0,1,0,0,22.598
186,6.206,7,7.2,1,0,0,22.086
187,6.24,10,7.8,1,0,0,22.16
188,6.273,10,8.4,1,0,0,22.224
189,6.306,8,8.6,1,1,1,22.571
190,6.34,9,8.8,1,1,1,21.933
191,6.373,9,9.2,1,1,1,22.302
192,6.406,8,8.8,1,1,1,22.318
193,6.44,8,8.4,1,1,1,22.564
194,6.473,6,8.0,1,1,1,22.162
195,6.506,6,7.4,1,0,0,22.342
196,6.54,7,7.0,1,0,0,22.098
197,6.573,7,6.8,1,0,0,22.652
198,6.607,9,7.0,1,0,0,22.315
199,6.64,7,7.2,1,0,0,22.271
200,6.673,8,7.6,1,0,0,22.395
201,6.707,8,7.8,1,0,0,22.906
202,6.74,6,7.6,1,0,0,22.489
203,6.773,10,7.8,1,0,0,22.417
204,6.807,9,8.2,1,0,0,22.5
205,6.84,8,8.2,1,0,0,22.99
206,6.874,9,8.4,1,0,0,22.942
207,6.907,10,9.2,1,1,1,22.433
208,6.94,10,9.2,1,1,1,22.067
209,6.974,10,9.4,1,1,1,22.942
210,7.007,10,9.8,1,1,1,22.788
211,7.04,13,10.6,1,1,1,22.817
212,7.074,11,10.8,1,1,1,22.585
213,7.107,8,10.4,1,1,1,22.584
214,7.14,7,9.8,1,1,1,22.564
215,7.174,6,9.0,1,0,0,22.666
216,7.207,6,7.6,1,0,0,22.577
217,7.241,8,7.0,1,0,0,22.844
218,7.274,9,7.2,1,0,0,22.414
219,7.307,9,7.6,1,0,0,22.431
220,7.341,9,8.2,1,0,0,22.58
221,7.374,8,8.6,1,0,0,22.982
222,7.407,8,8.6,1,0,0,22.463
223,7.441,9,8.6,1,0,0,22.201
224,7.474,10,8.8,1,0,0,22.622
225,7.508,9,8.8,1,0,0,23.134
226,7.541,9,9.0,1,1,1,22.745
227,7.574,8,9.0,1,1,1,22.438
228,7.608,10,9.2,1,1,1,22.267
229,7.641,11,9.4,1,1,1,22.589
230,7.674,10,9.6,1,1,2,22.619
231,7.708,9,9.6,1,1,2,22.941
232,7.741,9,9.8,1,1,2,22.268
233,7.774,9,9.6,1,1,1,22.749
234,7.808,9,9.2,1,1,1,22.537
235,7.841,10,9.2,1,1,1,22.553
236,7.875,9,9.2,1,1,2,22.645
237,7.908,9,9.2,1,1,2,22.772
238,7.941,9,9.2,1,1,2,22.086
239,7.975,8,9.0,1,1,2,22.641
240,8.008,8,8.6,1,1,1,22.401
241,8.041,8,8.4,1,1,1,22.805
242,8.075,8,8.2,1,1,1,22.442
243,8.108,8,8.0,1,1,1,22.621
244,8.141,8,8.0,1,1,1,22.898
245,8.175,9,8.2,1,1,1,22.771
246,8.208,9,8.4,1,1,1,22.472
247,8.242,9,8.6,1,1,1,22.516
248,8.275,10,9.0,1,1,2,22.506
